newnum	spnum	sgrp	nnum1	nnum2	spls
942	1	1	582	576	0.6
943	1	1	643	688	0.6
944	1	1	642	687	0.6
945	2	1	641	687	0.55
946	2	1	686	687	0.5
947	2	1	683	687	0.5
948	3	1	684	687	0.5
949	3	1	685	688	0.5
950	3	1	579	576	0.5
951	4	2	579	578	0.5
952	4	2	685	682	0.5
953	4	2	684	681	0.5
954	5	2	683	681	0.5
955	5	2	680	681	0.5
956	5	2	677	681	0.5
957	6	2	678	681	0.5
958	6	2	679	682	0.5
959	6	2	577	578	0.5
960	7	3	577	2	0.5
961	7	3	679	67	0.5
962	7	3	678	68	0.5
963	8	3	677	68	0.5
964	8	3	69	68	0.5
965	8	3	177	68	0.5
966	9	3	92	68	0.5
967	9	3	91	67	0.5
968	9	3	66	2	0.5
969	10	4	66	65	0.5
970	10	4	91	89	0.5
971	10	4	92	90	0.5
972	11	4	177	90	0.5
973	11	4	176	90	0.5
974	11	4	175	90	0.5
975	12	4	88	90	0.5
976	12	4	87	89	0.5
977	12	4	64	65	0.5
978	13	5	64	38	0.5
979	13	5	87	85	0.5
980	13	5	88	86	0.5
981	14	5	175	86	0.5
982	14	5	96	86	0.5
983	14	5	171	86	0.5
984	15	5	170	86	0.6
985	15	5	169	85	0.6
986	15	5	63	38	0.6
987	16	6	40	39	0.6
988	16	6	100	97	0.6
989	16	6	101	98	0.6
990	17	6	102	98	0.55
991	17	6	99	98	0.5
992	17	6	95	98	0.5
993	18	6	94	98	0.5
994	18	6	93	97	0.5
995	18	6	36	39	0.5
996	19	7	36	37	0.33
997	19	7	93	172	0.33
998	19	7	94	173	0.33
999	20	7	95	173	0.3
1000	20	7	174	94	0.3
1001	21	7	173	94	0.33
1002	21	7	172	93	0.33
1003	21	7	37	36	0.33
1004	22	8	37	1	0.33
1005	22	8	172	78	0.33
1006	22	8	173	79	0.33
1007	23	8	174	79	0.3
1008	23	8	80	173	0.4
1009	24	8	79	173	0.33
1010	24	8	78	172	0.33
1011	24	8	1	37	0.33
1012	25	9	1	394	0.25
1013	25	9	78	405	0.25
1014	25	9	79	416	0.25
1015	26	9	80	416	0.35
1016	26	9	427	79	0.4
1017	27	9	416	79	0.42
1018	27	9	405	78	0.42
1019	27	9	394	1	0.42
1020	28	10	383	75	0.42
1021	28	10	372	76	0.42
1022	29	10	361	76	0.4
1023	29	10	77	372	0.35
1024	30	10	76	372	0.25
1025	30	10	75	383	0.25
1026	31	11	1	581	0.33
1027	31	11	75	640	0.33
1028	31	11	76	639	0.33
1029	32	11	77	639	0.3
1030	32	11	638	76	0.35
1031	33	11	639	76	0.33
1032	33	11	640	75	0.33
1033	33	11	581	1	0.33
1034	34	12	581	580	0.33
1035	34	12	640	676	0.33
1036	34	12	639	675	0.33
1037	35	12	638	675	0.3
1038	35	12	674	639	0.35
1039	36	12	675	639	0.33
1040	36	12	676	640	0.33
1041	36	12	580	581	0.33
1042	37	13	580	592	0.5
1043	37	13	676	673	0.5
1044	37	13	675	672	0.5
1045	38	13	674	672	0.5
1046	38	13	671	672	0.5
1047	38	13	668	672	0.55
1048	39	13	669	672	0.6
1049	39	13	670	673	0.6
1050	39	13	591	592	0.6

